TitleID,Region,Title versions,Update versions
0004013000001602,JPN,v1026 v2048 v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 10.0.0-27
0004013000001602,KOR,v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,4.0.0-7 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 9.3.0-21 (stage2) 10.0.0-27
0004013000001602,EUR,v1026 v2048 v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 (stage3) 9.3.0-21 (stage2) 10.0.0-27
0004013000001602,TWN,v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,4.1.0-8 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 (stage4) 9.3.0-21 (stage5) 10.0.0-27
0004013000001702,CHN,v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,4.0.0-7 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage2) 9.3.0-21 (stage4) 9.6.0-24
0004013000001702,USA,v1024 v2049 v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
0004013000001702,JPN,v1024 v2049 v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
0004013000001702,KOR,v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,4.0.0-7 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage2) 9.6.0-24
0004013000001702,EUR,v1024 v2049 v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24
0004013000001702,TWN,v4096 v5122 v6145 v7168 v8196 v9220 v10243 v12290 v13315 v14342,4.1.0-8 5.0.0-11 6.0.0-11 6.1.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage4) 9.3.0-21 (stage5) 9.6.0-24
0004013000001703,CHN,v0,4.0.0-7
0004013000001703,USA,v0,2.0.0-2 Initial scan
0004013000001703,JPN,v0,2.0.0-2 Initial scan
0004013000001703,KOR,v0,4.0.0-7
0004013000001703,EUR,v0,2.0.0-2 Initial scan
0004013000001703,TWN,v0,4.1.0-8
0004013000001802,CHN,v3072 v4098 v5120 v6144 v7168,4.0.0-7 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20 (stage2)
0004013000001802,USA,v1025 v3072 v4098 v5120 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20
0004013000001802,JPN,v1025 v3072 v4098 v5120 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20
